LINHA,OPERACAO,MES_REFERENCIA,STE_CODIGO,ORI_CODIGO,PRD_CODIGO,PERFIL_ACAO,DIA_CLIENTE,DIA_PRODUTO,DIA_SITE,DIA_PERFIL,MES,ANOMES,DIAS_UTEIS,JORNADA_SEMANAL,PA_CONTRATADA,PA_REAL,HC_ATIVO,HC_ESCALADO,HC_TRABALHO,HC_FERIAS,HC_ABS,MD_TP_DISPONIVEL,LIG_HC,VEN_HC,LIG_VENDA,TICKET_MEDIO,CONSOLIDADO_VENDA_REAL,SEMANA_1_LIG_HC,SEMANA_1_VEN_HC,SEMANA_1_LIG_VENDA,SEMANA_1_HC_TRABALHADO,SEMANA_1_VENDA_TOTAL,SEMANA_1_VENDA_DIA,SEMANA_2_LIG_HC,SEMANA_2_VEN_HC,SEMANA_2_LIG_VENDA,SEMANA_2_HC_TRABALHADO,SEMANA_2_VENDA_TOTAL,SEMANA_2_VENDA_DIA,SEMANA_3_LIG_HC,SEMANA_3_VEN_HC,SEMANA_3_LIG_VENDA,SEMANA_3_HC_TRABALHADO,SEMANA_3_VENDA_TOTAL,SEMANA_3_VENDA_DIA,SEMANA_4_LIG_HC,SEMANA_4_VEN_HC,SEMANA_4_LIG_VENDA,SEMANA_4_HC_TRABALHADO,SEMANA_4_VENDA_TOTAL,SEMANA_4_VENDA_DIA,SEMANA_5_LIG_HC,SEMANA_5_VEN_HC,SEMANA_5_LIG_VENDA,SEMANA_5_HC_TRABALHADO,SEMANA_5_VENDA_TOTAL,SEMANA_5_VENDA_DIA,ORDEM,ORDEM_2,ESPACO_HC,ESPACO_CS,ESPACO_1,ESPACO_2,ESPACO_3,ESPACO_4
40,TIM Móvel - Ctr - UP,2022-01-01T00:00:00,4,67,33,1,TIM Móvel,Ctr - UP,ZL,C,JANEIRO - Obj,202201,25,,29,,59,53.844,51,5,5,0,107,4.4,24.1,,5842,100,5.6,18,54,1500,300,105,4.8,22,52,1489,248,110,4.4,25,50,1320,220,110,3.9,28,50,1179,196,110,3.5,31,50,355,177,11,2,0,0,0,0,0,0
41,TIM Móvel - Ctr / Pós,2021-10-01T00:00:00,4,67,37,1,TIM Móvel,Ctr / Pós,ZL,C,OUTUBRO,202110,24.4,,0,151,171,170.9426229508197,151,9,3.8,0,139,4.2,33.4,0,15861,129,5.7,22.7,142,4875,813,138,4.3,32,147,3167,633,148,4,37.4,164,3919,653,146,3.5,42.6,158,3272,545,124,2.5,50.4,125,628,314,12,1,0,0,0,0,0,0
42,TIM Móvel - Ctr / Pós,2021-11-01T00:00:00,4,67,37,1,TIM Móvel,Ctr / Pós,ZL,C,NOVEMBRO,202111,23.5,,0,166,185,184.595744680851,166,5,4.7,0,131,4.1,31.8,0,16566,133,5.1,26,152,3911,782,135,4.6,29.6,170,4693,782,125,3.6,34.6,173,3162,632,125,3.6,35.4,168,3594,599,148,3.6,41.2,167,1206,603,12,1,0,0,0,0,0,0
43,TIM Móvel - Ctr / Pós,2021-12-01T00:00:00,4,67,37,1,TIM Móvel,Ctr / Pós,ZL,C,DEZEMBRO,202112,24.7,,0,162,179,179.4331983805668,162,5,4.9,0,142,4.4,34.2,0,17125,137,6.1,22.5,164,6048,1008,134,4.2,31.9,171,4354,726,150,3.4,44.4,176,3572,595,144,3.3,49.1,132,2155,431,147,3.1,46.7,158,996,498,12,1,0,0,0,0,0,0
44,TIM Móvel - Ctr / Pós,2022-01-01T00:00:00,4,67,37,1,TIM Móvel,Ctr / Pós,ZL,C,JANEIRO - Parc,202201,6.9,,0,149,174,174.3478260869565,149,9,8,0,130,6.2,20.7,0,6573,127,6.6,19.2,155,5114,1023,137,5.3,25.8,136,1459,730,,,,,,,,,,,,,,,,,,,12,1,0,0,0,0,0,0
45,TIM Móvel - Ctr / Pós,2022-01-01T00:00:00,4,67,37,1,TIM Móvel,Ctr / Pós,ZL,C,JANEIRO - Obj,202201,23,,,,182,176.7584,170,5,4,0,142,4.6,31.1,36,18381,127,6.9,18.5,165,5670,1134,133,4.8,27.7,172,4653,828,150,3.9,38.6,172,3752,669,153,3.6,42.6,170,3425,609,154,3.2,47.9,170,880,546,12,2,0,0,0,0,0,0
46,TIM Móvel - Pré / Ctr,2021-10-01T00:00:00,4,67,62,1,TIM Móvel,Pré / Ctr,ZL,C,OUTUBRO,202110,24,,,298,348,348.0416666666667,298,23,3.7,0,168,4.1,41.1,0,30673,154,4.8,31.9,286,8324,1387,168,4.8,35.5,303,7210,1442,181,4,45.1,304,7367,1228,172,3.5,49.7,304,6391,1065,156,2.4,65.1,286,1381,691,13,1,0,0,0,0,0,0
47,TIM Móvel - Pré / Ctr,2021-11-01T00:00:00,4,67,62,1,TIM Móvel,Pré / Ctr,ZL,C,NOVEMBRO,202111,23.2,,,329,372,372.1551724137931,329,19,3.1,0,163,4,40.7,0,31693,179,5.1,35.4,296,7515,1503,173,4.3,40.1,316,8210,1368,155,4.3,36.3,327,7094,1419,144,3.3,44.2,356,6999,1167,169,2.5,67.7,375,1875,938,13,1,0,0,0,0,0,0
48,TIM Móvel - Pré / Ctr,2021-12-01T00:00:00,4,67,62,1,TIM Móvel,Pré / Ctr,ZL,C,DEZEMBRO,202112,24.4,,,330,378,377.6639344262295,330,17,5.2,0,171,4.2,40.5,0,35202,157,6,26.1,345,12502,2084,171,4.3,39.8,341,8892,1482,175,3.6,49.1,343,7401,1234,183,3.3,56.9,284,4672,934,170,2.6,65.9,335,1735,868,13,1,0,0,0,0,0,0
49,TIM Móvel - Pré / Ctr,2022-01-01T00:00:00,4,67,62,1,TIM Móvel,Pré / Ctr,ZL,C,JANEIRO - Parc,202201,6.8,,,301,352,351.7647058823529,301,21,5.5,0,153,6.3,24,0,13364,147,6.5,22.7,319,10340,2068,169,5.9,28.7,255,3024,1512,,,,,,,,,,,,,,,,,,,13,1,0,0,0,0,0,0
50,TIM Móvel - Pré / Ctr,2022-01-01T00:00:00,4,67,62,1,TIM Móvel,Pré / Ctr,ZL,C,JANEIRO - Obj,202201,23,,,,354,335.034,319,19,5,0,170,4.9,35,36,36293,157,6.2,25.1,325,10145,2029,171,5.3,32.1,329,9680,1755,178,5,35.5,315,8684,1580,176,3.7,47.8,311,6299,1144,176,3.2,55.2,311,1486,991,13,2,0,0,0,0,0,0
51,TIM Móvel - Pré-In,2021-10-01T00:00:00,4,67,85,1,TIM Móvel,Pré-In,ZL,C,OUTUBRO,202110,20,,,2,2,2.3,2,0,0,0,18,2.9,5.9,0,137,20,5,4.1,3,15,15,17,2.9,5.9,3,43,9,20,3.8,5.1,2,46,8,19,2.3,8.2,2,28,5,10,1.3,7.6,2,5,3,14,1,0,0,0,0,0,0
52,TIM Móvel - Pré-In,2021-11-01T00:00:00,4,67,85,1,TIM Móvel,Pré-In,ZL,C,NOVEMBRO,202111,24,,,1,2,1.958333333333333,1,0,0,0,18,3.4,5.2,0,161,32,5.7,5.6,2,57,11,22,4.3,5.1,2,52,9,13,2.3,5.6,2,23,5,11,1.9,5.1,1,21,4,7,2,3.3,2,8,4,14,1,0,0,0,0,0,0
53,TIM Móvel - Pré-In,2021-12-01T00:00:00,4,67,85,1,TIM Móvel,Pré-In,ZL,C,DEZEMBRO,202112,24,,,3,3,3.041666666666667,3,0,1.4,0,12,2,6,0,142,15,2.6,5.6,2,44,7,26,4.7,5.6,3,84,14,3,0.2,14.5,3,4,1,4,0.5,7,3,7,2,4,0.5,8,3,3,2,14,1,0,0,0,0,0,0
54,TIM Móvel - Pré-In,2022-01-01T00:00:00,4,67,85,1,TIM Móvel,Pré-In,ZL,C,JANEIRO - Parc,202201,5,,,3,3,3,3,0,0,0,12,2.3,5.5,0,34,12,2.3,5.5,3,34,7,,,,,,,,,,,,,,,,,,,,,,,,,14,1,0,0,0,0,0,0
55,TIM Móvel - Refidelização,2021-10-01T00:00:00,4,67,84,1,TIM Móvel,Refidelização,ZL,C,OUTUBRO,202110,25,,,109,124,123.68,109,8,4.4,0,117,21.3,5.7,0,56674,102,25.7,3.9,81,12604,2101,105,20.3,5.1,92,9418,1884,125,23.1,5.4,119,16608,2768,133,18.5,7.2,126,14045,2341,120,13.4,9,149,3999,2000,15,1,0,0,0,0,0,0
56,TIM Móvel - Refidelização,2021-11-01T00:00:00,4,67,84,1,TIM Móvel,Refidelização,ZL,C,NOVEMBRO,202111,24,,,135,154,153.8333333333333,135,11,4.3,0,118,18.2,6.5,0,58839,128,26.7,4.8,133,17794,3559,131,23.3,5.6,132,18494,3082,106,15.1,7,129,9759,1952,112,11.7,9.6,142,10001,1667,101,9.6,10.5,145,2791,1396,15,1,0,0,0,0,0,0
57,TIM Móvel - Refidelização,2021-12-01T00:00:00,4,67,84,1,TIM Móvel,Refidelização,ZL,C,DEZEMBRO,202112,26,,,137,153,153.2692307692308,137,6,5.2,0,116,17.4,6.4,0,66534,117,25.6,4.6,153,23585,3931,135,23.7,5.7,152,21670,3612,140,16.2,8.6,149,14481,2414,87,8.3,10.5,111,4636,927,80,7.7,10,93,2162,721,15,1,0,0,0,0,0,0
58,TIM Móvel - Refidelização,2022-01-01T00:00:00,4,67,84,1,TIM Móvel,Refidelização,ZL,C,JANEIRO - Parc,202201,7,,,152,170,169.7142857142857,152,7,5.1,0,123,29.5,4.2,0,31200,123,30.3,4,149,22650,4530,122,26.9,4.5,159,8550,4275,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0
59,TIM Móvel - Refidelização,2022-01-01T00:00:00,4,67,84,1,TIM Móvel,Refidelização,ZL,C,JANEIRO - Obj,202201,25,,90,,181,170.184,162,11,5,0,132,21.9,6,,88859,125,31.3,4,144,22500,4500,130,27.1,4.8,166,26975,4496,135,18.5,7.3,168,18641,3107,135,16.3,8.3,166,16200,2700,130,13.7,9.5,166,4543,2272,15,2,0,0,0,0,0,0
60,Vivo Móvel - BL Novo,2021-10-01T00:00:00,4,81,36,1,Vivo Móvel,BL Novo,ZL,C,OUTUBRO,202110,25,,,37,43,42.68,37,3,3.5,0,123,0.5,261.7,31,443,128,0.4,285.5,42,115,19,107,0.4,282.6,42,80,16,131,0.6,225.9,35,121,20,135,0.5,250.1,33,107,18,92,0.3,320.3,35,20,10,16,1,0,0,0,0,0,0
61,Vivo Móvel - BL Novo,2021-11-01T00:00:00,4,81,36,1,Vivo Móvel,BL Novo,ZL,C,NOVEMBRO,202111,24,,,41,45,45.25,41,2,2.1,0,127,0.5,279.1,43,451,129,0.5,237.3,42,114,23,127,0.4,287.2,40,108,18,133,0.6,237.2,41,116,23,116,0.4,316.9,41,91,15,136,0.3,521.1,42,22,11,16,1,0,0,0,0,0,0
62,Vivo Móvel - BL Novo,2021-12-01T00:00:00,4,81,36,1,Vivo Móvel,BL Novo,ZL,C,DEZEMBRO,202112,24,,,36,43,43,36,2,10.2,0,131,0.3,390.6,33,294,135,0.3,409.7,41,81,14,121,0.4,334.3,38,83,14,133,0.3,380.3,35,75,13,134,0.3,410.8,33,44,11,144,0.2,664.8,26,11,6,16,1,0,0,0,0,0,0
63,Vivo Móvel - BL Novo,2022-01-01T00:00:00,4,81,36,1,Vivo Móvel,BL Novo,ZL,C,JANEIRO - Parc,202201,7,,,38,45,44.57142857142857,38,2,7.7,0,105,0.4,264.8,33,106,102,0.4,267,37,71,14,111,0.4,260.2,41,35,18,,,,,,,,,,,,,,,,,,,16,1,0,0,0,0,0,0
64,Vivo Móvel - BL Novo,2022-01-01T00:00:00,4,81,36,1,Vivo Móvel,BL Novo,ZL,C,JANEIRO - Obj,202201,25,,,,40,38.472,37,2,5,0,131,0.5,289,,416,135,0.5,285,34,81,16,125,0.5,270,38,106,18,135,0.5,270,37,111,19,130,0.4,310,37,93,16,125,0.4,350,37,26,13,16,2,0,0,0,0,0,0
65,Vivo Móvel - Ctr / Pós,2021-10-01T00:00:00,4,81,80,1,Vivo Móvel,Ctr / Pós,ZL,C,OUTUBRO,202110,25,,,33,39,38.84,33,3,5.2,0,112,4.2,26.7,91,3478,116,4.3,26.7,41,1058,176,117,3.8,30.2,27,515,103,109,4.3,25.2,34,890,148,110,4.5,24.4,30,818,136,106,3.2,33.1,31,197,99,18,1,0,0,0,0,0,0
66,Vivo Móvel - Ctr / Pós,2021-11-01T00:00:00,4,81,80,1,Vivo Móvel,Ctr / Pós,ZL,C,NOVEMBRO,202111,24,,,41,45,44.5,41,1,5.5,0,133,3.5,38.2,95,3423,119,3.7,31.9,39,741,148,119,3.9,30.5,40,952,159,126,3.7,34.2,42,781,156,160,3,53.1,41,747,125,139,2.4,57.7,42,202,101,18,1,0,0,0,0,0,0
67,Vivo Móvel - Ctr / Pós,2021-12-01T00:00:00,4,81,80,1,Vivo Móvel,Ctr / Pós,ZL,C,DEZEMBRO,202112,24,,,40,45,44.875,40,2,5.8,0,161,2.9,56.9,99,2765,141,3.9,36,39,915,153,155,3.3,47.2,35,706,118,177,2.4,73.5,44,636,106,173,1.9,92.7,43,326,82,171,2.2,77.7,40,182,91,18,1,0,0,0,0,0,0
68,Vivo Móvel - Ctr / Pós,2022-01-01T00:00:00,4,81,80,1,Vivo Móvel,Ctr / Pós,ZL,C,JANEIRO - Parc,202201,7,,,43,49,49.14285714285715,43,3,5.6,0,126,3.3,38,100,997,110,3.1,35.9,44,674,135,168,3.9,42.6,41,323,162,,,,,,,,,,,,,,,,,,,18,1,0,0,0,0,0,0
69,Vivo Móvel - Ctr / Pós,2022-01-01T00:00:00,4,81,80,1,Vivo Móvel,Ctr / Pós,ZL,C,JANEIRO - Obj,202201,25,,,,47,43.554,41,3,5,0,155,3.3,46.5,132,3443,135,4,34,43,854,171,150,3.8,40,43,964,161,165,3.3,50,41,809,135,165,2.7,62,40,636,106,165,2.4,70,39,182,92,18,2,0,0,0,0,0,0
70,Vivo Móvel - Pré / Ctr,2021-10-01T00:00:00,4,81,22,1,Vivo Móvel,Pré / Ctr,ZL,C,OUTUBRO,202110,24.1,,100,308,357,357.0954356846473,308,18,4.7,0,157,3.8,41.5,36,29164,158,2.5,62.6,295,4474,746,146,3.3,44.7,320,5247,1049,158,4.2,38.1,315,7881,1314,164,5.1,32.2,309,9450,1575,156,3.7,43.1,289,2112,1056,19,1,0,0,0,0,0,0
71,Vivo Móvel - Pré / Ctr,2021-11-01T00:00:00,4,81,22,1,Vivo Móvel,Pré / Ctr,ZL,C,NOVEMBRO,202111,23.4,,100,312,358,357.9059829059829,312,20,4.6,0,156,3.6,43.2,37,27173,158,3.8,41.5,296,5664,1133,157,3,53.2,302,5366,894,156,3.2,49.2,306,4852,970,152,4.4,34.5,330,8725,1454,162,3.7,43.9,346,2566,1283,19,1,0,0,0,0,0,0
72,Vivo Móvel - Pré / Ctr,2021-12-01T00:00:00,4,81,22,1,Vivo Móvel,Pré / Ctr,ZL,C,DEZEMBRO,202112,23.2,,100,321,371,370.8189655172414,321,13,6.5,0,168,4,43,37,30350,167,3.5,47.9,320,6733,1122,154,4.7,33.1,311,8815,1469,164,4.4,37.5,324,8528,1421,182,3.3,55.6,328,4295,1074,198,3,66.5,332,1979,990,19,1,0,0,0,0,0,0
73,Vivo Móvel - Pré / Ctr,2022-01-01T00:00:00,4,81,22,1,Vivo Móvel,Pré / Ctr,ZL,C,JANEIRO - Parc,202201,6.8,,100,285,340,340.2941176470588,285,19,7.2,0,149,3.5,43.8,37,6795,145,3.1,47.1,301,4635,927,158,4.4,36.9,247,2160,1080,,,,,,,,,,,,,,,,,,,19,1,0,0,0,0,0,0
74,Vivo Móvel - Pré / Ctr,2022-01-01T00:00:00,4,81,22,1,Vivo Móvel,Pré / Ctr,ZL,C,JANEIRO - Obj,202201,23,,,,371,353.5516,335,17,5.5,0,166,4.3,38.8,36,33644,168,4.1,41.3,326,6626,1325,163,4.6,35.5,333,8396,1524,166,4.9,33.9,337,9082,1646,168,4,41.6,341,7586,1374,173,3.8,45.8,341,1955,1286,19,2,0,0,0,0,0,0
75,Vivo Móvel - Pré-AGV,2021-10-01T00:00:00,4,81,87,1,Vivo Móvel,Pré-AGV,ZL,C,OUTUBRO,202110,16,,,3,3,3.25,3,0,0,0,31,4,7.9,40,207,25,3.7,6.9,3,11,11,25,2.5,8.4,2,25,6,26,3.7,7.1,3,55,11,36,4.2,8.6,4,83,17,59,8.3,7.1,4,33,33,20,1,0,0,0,0,0,0
76,Vivo Móvel - Pré-AGV,2021-11-01T00:00:00,4,81,87,1,Vivo Móvel,Pré-AGV,ZL,C,NOVEMBRO,202111,20,,,3,3,3.2,3,0,1.6,0,23,2.4,9.8,38,149,30,3.4,9.3,3,47,12,15,1.5,9.5,2,20,4,33,2.9,10.8,2,32,8,23,2.4,8.9,3,44,9,13,0.9,15,3,6,3,20,1,0,0,0,0,0,0
77,Vivo Móvel - Pré-AGV,2021-12-01T00:00:00,4,81,87,1,Vivo Móvel,Pré-AGV,ZL,C,DEZEMBRO,202112,21,,,3,4,4.238095238095238,3,0,10.1,0,16,1.5,10.5,36,119,20,1.6,12.6,4,32,6,23,2.5,9.2,4,50,10,12,0.9,12.7,3,18,4,10,0.8,11.2,3,11,3,6,1.3,4.4,3,8,4,20,1,0,0,0,0,0,0
78,Vivo Móvel - Pré-AGV,2022-01-01T00:00:00,4,81,87,1,Vivo Móvel,Pré-AGV,ZL,C,JANEIRO - Parc,202201,6,,,2,3,3,2,0,0,0,24,1.9,10.4,36,28,19,2,8.5,2,28,6,52,0,0,1,0,0,,,,,,,,,,,,,,,,,,,20,1,0,0,0,0,0,0
79,Vivo Móvel - Pré-In,2021-10-01T00:00:00,4,81,85,1,Vivo Móvel,Pré-In,ZL,C,OUTUBRO,202110,22.9,,,7,8,8.16593886462882,7,0,0.5,0,22,2.5,9,39,454,24,1.8,12.9,9,99,17,14,1.5,9.3,7,55,11,25,2.8,8.6,7,119,20,26,4,6.4,6,160,27,19,1.8,11,6,21,11,21,1,0,0,0,0,0,0
80,Vivo Móvel - Pré-In,2021-11-01T00:00:00,4,81,85,1,Vivo Móvel,Pré-In,ZL,C,NOVEMBRO,202111,22.5,,,6,8,7.511111111111112,6,0,0.6,0,12,1.4,8.5,40,224,18,1.7,10.2,7,61,12,10,0.7,13.9,7,30,5,9,1.4,6.2,7,50,10,12,2,6.3,6,78,13,6,0.5,13.2,5,5,3,21,1,0,0,0,0,0,0
81,Vivo Móvel - Pré-In,2021-12-01T00:00:00,4,81,85,1,Vivo Móvel,Pré-In,ZL,C,DEZEMBRO,202112,23.1,,,6,7,7.056277056277057,6,0,2.5,0,11,1.4,8.5,40,204,15,1.5,10.2,6,58,10,11,1.8,5.9,6,71,12,12,1.5,7.8,6,56,9,8,0.5,14.9,7,17,4,4,0.2,20,5,2,1,21,1,0,0,0,0,0,0
82,Vivo Móvel - Pré-In,2022-01-01T00:00:00,4,81,85,1,Vivo Móvel,Pré-In,ZL,C,JANEIRO - Parc,202201,7,,,5,5,5.428571428571429,5,0,5.3,0,25,2.2,10.9,38,81,25,1.6,14.9,5,40,8,26,3.7,7,5,41,21,,,,,,,,,,,,,,,,,,,21,1,0,0,0,0,0,0
